ID	First_Author	Year	Country	Latitude	Longitude	Habitat	Setting	Objective	Exposure	Width	Length	Area	Cost.Unit	Reported.Cost.V1	Reported.Cost.V2	Cost.Year	Currency	CPI.2014	USD.2014	Benefit.Type
1	ABPMER	2004	UK	52.962422	0.089861	SM	E	H	H	377	1750	660000	Total	1977000	0	1999	GBP	1.39	1.59	NA
2	ABPMER	2004	UK	57.738911	-4.0326	SM	E	H	L	291	860	250000	Total	31440	0	2003	GBP	1.32	1.59	NA
3	EFTEC	2008	UK	51.616747	0.824875	SM	E	H	L	355	16500	5850000	Total	17500000	0	2008	GBP	1.2	1.59	NA
4	Anthony	2012	Guyana	6.778792	-58.040692	MG	O	E	M	20	100	2000	Ha	25000	100000	2012	USD	1.03	1	S
5	Barbier	2013	USA	29.87611111	-89.71916667	SM	O	F	H	NA	NA	NA	NA	NA	NA	2013	NA	NA	NA	F
6	Benner	1982	USA	36.180881	-75.75708	SM	B	E	M	30.5	800	24400	NA	NA	NA	1982	NA	NA	NA	E
7	Chung	2007	China	27.97833333	120.7891667	SM	E	F	L	200	1000	2.00E+05	Total	1000000	0	1997	Yuan	1.37	0.163	S
8	Chung	2007	China	38.725	117.5480556	SM	E	E	M	20	1000	20000	Total	1045801.53	0	2005	Yuan	1.31	0.163	S
9	Chung	2004	China	32.4125	121.3925	SM	O	E	M	NA	NA	NA	NA	NA	NA	2004	Yuan	1.31	0.163	ERO
10	Clark	1999	Maldives	NA	NA	CR	O	H	H	1	1	1	SqM	142	0	1996	USD	1.52	1	NA
11	Clemson_University	2014	USA	29.67305556	-92.85361111	OR	O	E	L	10	300	3000	NA	NA	NA	2014	NA	NA	NA	NA
12	COPRI	2012	USA	29.67305556	-92.85361111	OR	O	F	H	27	270	7300	Total	2310000	0	2014	USD	1	1	NA
13	Deltares	2011	Netherlands	51.80333333	4.8675	MG	O	F	H	100	100	10000	Ha	7000	0	2009	EUR	1.09	1.25	S
14	Spurgeon	2000	USA	NA	NA	CR	O	H	H	100	100	10000	Ha	5500000	100000000	2000	USD	1.42	1	NA
15	Spurgeon	2000	Maldives	NA	NA	CR	O	H	H	100	100	10000	Ha	400000	1600000	2000	USD	1.42	1	NA
16	Edwards	1994	Australia	NA	NA	CR	O	H	H	100	100	10000	Ha	40000	0	2000	USD	1.42	1	NA
17	Spurgeon	2000	Tanzania	NA	NA	CR	O	H	H	100	100	10000	Ha	13000	0	2000	USD	1.42	1	NA
18	ESA_PWA	2013	USA	37.72027778	-122.3197222	SM	B	F	H	60	1600	192000	Total	6300000	0	2013	USD	1.02	1	"E, BC"
19	Fabian	1996	Maldives	4.178333333	73.50694444	CR	A	F	M	1	200	200	KM	1000000	0	1996	USD	1.52	1	E
20	Fox	2005	Indonesia	-8.515998	119.588194	CR	O	H	H	1	1	1	SqM	5	0	2005	USD	1.25	1	NA
21	Fox	2005	USA	NA	NA	CR	O	H	H	1	1	1	SqM	1500	0	2005	USD	1.25	1	NA
22	Fox	2005	Maldives	NA	NA	CR	O	H	H	1	1	1	Total	40	160	2005	USD	1.25	1	NA
23	Fox	2005	USA	NA	NA	CR	O	H	H	1	1	1	SqM	5275	0	2005	USD	1.25	1	NA
24	Fox	2005	NaN	NA	NA	CR	O	H	H	1	1	1	NA	NA	NA	2005	NA	NA	NA	NA
25	GalvestonBayFoundation	2008	USA	38.12694444	-76.65416667	SM	B	E	M	9	136	1224	M	135	0	2008	USD	1.11	1	NA
26	Goreau	2005	USA	NA	NA	CR	O	H	H	1	1	1	SqM	1.6	2.8	2005	USD	1.25	1	NA
27	Goreau	2005	USA	NA	NA	CR	O	H	H	1	1	1	SqM	3.2	4	2005	USD	1.25	1	NA
28	Goreau	2005	USA	NA	NA	CR	O	H	H	1	1	1	SqM	6	42	2005	USD	1.25	1	NA
29	Goreau	2005	USA	NA	NA	CR	O	H	H	1	1	1	SqM	60	110	2005	USD	1.25	1	NA
30	Hardaway	2008	USA	38.12694444	-76.65416667	SM	O	E	H	90	91	8190	NA	NA	NA	2008	NA	NA	NA	E
31	Hardaway	2002	USA	38.185	-76.43472222	SM	E	E	M	3	182	546	NA	NA	NA	2002	NA	NA	NA	E
32	Hardaway	1999	USA	38.39	-76.50694444	SM	B	E	M	14	3218	45052	NA	NA	NA	1999	NA	NA	NA	E
33	Hardaway	2002	USA	38.15027778	-76.44083333	SM	E	E	M	10	728	7280	NA	NA	NA	2002	NA	NA	NA	E
34	Harrell	2013	USA	30.18722222	-89.49388889	OR	B	E	H	NA	NA	186155	Total	25000000	0	2013	USD	1.01	1	NA
35	IFRC	2011	Vietnam	19.00833333	105.615	MG	B	F	H	286	3500	1.00E+06	Total	94374	0	2011	USD	1.06	1	"F, BC"
36	IFRC	2011	Vietnam	20.50888889	106.5827778	MG	B	F	H	644	5900	3800000	Total	362424	0	2011	USD	1.06	1	"F, BC"
