ID	First_Author	Year	Country	Habitat	Latitude	Longitude	Variable	Depth_Control	n	h	Tp	B	hv	D	f	alpha	X	HsC	HsCErr	HsT	HsTErr	WEffSize	R	r	Fx	RFx	Hsdeep	SSmean	TideRange	RSLR8.5	Source_Text
1	LugoFernandez	1998	USA	CRC	17.75686667	-64.70662778	Hs	No	110	7	11	60	NaN	NaN	1	0.042857143	0.317436247	0.3	0.05	0.17	0.03	-1.848650355	0.433333333	0.007222222	NaN	NaN	1.343180131	0.198956901	0.441511442	0.663478922	figs_2_5
2	Lowe	2009	USA	CRC	21.46237222	-157.810075	Hs	No	10	8.1	NaN	NaN	NaN	NaN	0.28	0.209876543	NaN	1.7	0.52	0.67	0.07	-2.936967764	0.605882353	NaN	NaN	NaN	1.639115003	0.539406375	1.012415058	0.643505879	fig_7
3	Lowe	2009	USA	CRC	21.46237222	-157.810075	Hrms	No	25	7.9	NaN	NaN	NaN	NaN	0.28	0.24556962	NaN	1.94	0.55	0.58	0.07	-3.888680388	0.701030928	NaN	NaN	NaN	1.639115003	0.539406375	1.012415058	0.643505879	fig_4
4	Taebi	2011	Australia	CRC	-22.20418333	113.8409028	H	No	15	14	12	500	NaN	NaN	NaN	0.072142857	2.222788538	1.01	0.36	0.23	0.11	-4.639506555	0.772277228	0.001544554	NaN	NaN	1.380726559	0.834688559	1.591717126	0.636011382	fig_4
5	Falter	2004	USA	CRF	-22.20418333	113.8409028	Hrms	No	3	2	10	300	NaN	NaN	0.22	0.22	1.920489297	0.44	0.13	0.18	0.06	-2.608115865	0.590909091	0.001969697	NaN	NaN	1.380726559	0.834688559	1.591717126	0.636011382	tab_1
6	Hardy	1996	Australia	CRF	-18.635518	147.047543	Hs	No	10	3	6	145	NaN	NaN	0.15	0.186666667	2.578434704	0.56	0.18	0.38	0.1	-1.212126749	0.321428571	0.002216749	NaN	NaN	1.196996011	1.743241051	3.156907923	0.650793667	fig_5
7	Kench	2009	Maldives	CRF	4.178458	73.507028	Hs	No	5	0.93	8	35	NaN	NaN	NaN	0.193548387	0.350089195	0.18	0.02	0.15	0.08	-0.573438564	0.166666667	0.004761905	NaN	NaN	0.795648938	0.548143003	1.081844159	0.664596839	fig_5
8	Kench	2009	Maldives	CRF	4.178458	73.507028	Hs	No	5	0.8	8	34	NaN	NaN	NaN	0.3	0.340086646	0.24	0.06	0.24	0.07	0	0	0	NaN	NaN	0.795648938	0.548143003	1.081844159	0.664596839	fig_5
9	Kench	2009	Maldives	CRF	4.178458	73.507028	Hs	No	5	0.73	8	48	NaN	NaN	NaN	0.095890411	0.480122324	0.07	0.01	0.06	0.02	-0.493508232	0.142857143	0.00297619	NaN	NaN	0.795648938	0.548143003	1.081844159	0.664596839	fig_5
10	Kench	2009	Maldives	CRF	4.178458	73.507028	Hs	No	5	1.2	8	42	NaN	NaN	NaN	0.058333333	0.420107034	0.07	0.01	0.08	0.01	0.428984102	-0.142857143	-0.003401361	NaN	NaN	0.795648938	0.548143003	1.081844159	0.664596839	fig_5
11	Jago	2007	Australia	CRF	-24.112885	152.714014	Hs	No	3	1	7	40	NaN	NaN	NaN	0.3	0.522582122	0.3	0.09	0.24	0.14	-0.612755469	0.2	0.005	NaN	NaN	1.577744835	1.340306158	2.341799409	0.668739922	fig_5
12	Brander	2004	Australia	CRF	-10.208695	142.822829	Hs	No	3	3.5	4	2095	NaN	NaN	NaN	0.117142857	83.82135576	0.41	0.1	0.15	0.07	-2.977910129	0.634146341	0.000302695	NaN	NaN	0.713575737	2.064429992	3.675685385	0.654023269	fig_7a
13	Samosorn	2008	Australia	CRF	-10.208695	142.822829	Hmo	No	39	1	5	3200	NaN	NaN	NaN	0.72	81.94087666	0.72	0.36	0.28	0.11	-3.003437616	0.611111111	0.000190972	NaN	NaN	0.713575737	2.064429992	3.675685385	0.654023269	figs_4_8_11_13_15
14	Zhu	2004	China	CRF	9.321459	112.423494	H/Ho	No	18	1.15	NaN	210	NaN	NaN	0.1346	0.869565217	NaN	1	0	0.7078	0.071	-1.124476001	0.2922	0.001391429	NaN	NaN	1.306080458	1.058939825	2.129014332	0.644294677	tab_1
15	Zhu	2004	China	CRF	9.321459	112.423494	H/Ho	No	85	1.12	NaN	184	NaN	NaN	0.1346	0.892857143	NaN	1	0.1	0.6538	0.1194	-1.383320198	0.3462	0.001881522	NaN	NaN	1.306080458	1.058939825	2.129014332	0.644294677	tab_1
